state,year,barrels,type
SD,2010,97.6,Bottles and Cans
SD,2011,424.14,Bottles and Cans
SD,2012,619.7,Bottles and Cans
SD,2013,785.06,Bottles and Cans
SD,2014,823.65,Bottles and Cans
SD,2015,1028.03,Bottles and Cans
SD,2016,935.83,Bottles and Cans
SD,2017,1132.85,Bottles and Cans
SD,2018,877.45,Bottles and Cans
SD,2019,935.45,Bottles and Cans
TN,2008,292.08,Bottles and Cans
TN,2009,98.75,Bottles and Cans
TN,2010,112.1,Bottles and Cans
TN,2011,1051.89,Bottles and Cans
TN,2012,380277,Bottles and Cans
TN,2013,560336.92,Bottles and Cans
TN,2014,696681.85,Bottles and Cans
TN,2015,1073651.26,Bottles and Cans
TN,2016,1116453.27,Bottles and Cans
TN,2017,1307141.77,Bottles and Cans
TN,2018,1750984.8,Bottles and Cans
TN,2019,2641268.05,Bottles and Cans
TX,2008,18671765.96,Bottles and Cans
TX,2009,19020183.48,Bottles and Cans
TX,2010,18985409.81,Bottles and Cans
TX,2011,18934858.19,Bottles and Cans
TX,2012,17941441.31,Bottles and Cans
TX,2013,18373013.26,Bottles and Cans
TX,2014,18841742.38,Bottles and Cans
TX,2015,18151237.17,Bottles and Cans
TX,2016,18582286.52,Bottles and Cans
TX,2017,18110667.95,Bottles and Cans
TX,2018,16987670.45,Bottles and Cans
TX,2019,16934638.35,Bottles and Cans
UT,2008,22701.49,Bottles and Cans
UT,2009,22586.94,Bottles and Cans
UT,2010,28681.77,Bottles and Cans
UT,2011,40477.43,Bottles and Cans
UT,2012,62120.44,Bottles and Cans
UT,2013,80300.79,Bottles and Cans
UT,2014,101610.11,Bottles and Cans
UT,2015,117512.5,Bottles and Cans
UT,2016,124719.01,Bottles and Cans
UT,2017,126456.78,Bottles and Cans
UT,2018,110817.78,Bottles and Cans
UT,2019,91927.41,Bottles and Cans
VA,2008,14083265,Bottles and Cans
VA,2009,13471382.64,Bottles and Cans
VA,2010,12809681.79,Bottles and Cans
VA,2011,12531661.75,Bottles and Cans
VA,2012,13408374.35,Bottles and Cans
VA,2013,12891463.92,Bottles and Cans
VA,2014,12259344.53,Bottles and Cans
VA,2015,11190928.41,Bottles and Cans
VA,2016,11211279.68,Bottles and Cans
VA,2017,12678626.95,Bottles and Cans
VA,2018,12333484.1,Bottles and Cans
VA,2019,12829543.99,Bottles and Cans
VT,2008,219875.42,Bottles and Cans
VT,2009,217101.35,Bottles and Cans
VT,2010,248184.49,Bottles and Cans
VT,2011,289840.71,Bottles and Cans
VT,2012,273965.87,Bottles and Cans
VT,2013,271560.29,Bottles and Cans
VT,2014,258101.46,Bottles and Cans
VT,2015,264417.4,Bottles and Cans
VT,2016,220195.37,Bottles and Cans
VT,2017,208884.06,Bottles and Cans
VT,2018,187172.15,Bottles and Cans
VT,2019,178160.04,Bottles and Cans
WA,2008,130485.73,Bottles and Cans
WA,2009,126287.74,Bottles and Cans
WA,2010,128996.61,Bottles and Cans
WA,2011,121471.16,Bottles and Cans
WA,2012,116944.26,Bottles and Cans
WA,2013,125917.12,Bottles and Cans
WA,2014,140925.38,Bottles and Cans
WA,2015,163346.76,Bottles and Cans
WA,2016,139649.07,Bottles and Cans
WA,2017,142440.45,Bottles and Cans
WA,2018,174684.94,Bottles and Cans
WA,2019,188786.24,Bottles and Cans
WI,2008,7202790.46,Bottles and Cans
WI,2009,9095536.35,Bottles and Cans
WI,2010,10240080.7,Bottles and Cans
WI,2011,9002320.57,Bottles and Cans
WI,2012,8884190.43,Bottles and Cans
WI,2013,9038409.69,Bottles and Cans
WI,2014,9100215.78,Bottles and Cans
WI,2015,9090297.72,Bottles and Cans
WI,2016,9142816.33,Bottles and Cans
WI,2017,9189949.38,Bottles and Cans
WI,2018,9225292.71,Bottles and Cans
WI,2019,8353029.28,Bottles and Cans
WV,2008,1277.63,Bottles and Cans
WV,2009,734,Bottles and Cans
WV,2010,569.55,Bottles and Cans
WV,2011,120.33,Bottles and Cans
WV,2012,23.18,Bottles and Cans
WV,2013,87.86,Bottles and Cans
WV,2014,43.45,Bottles and Cans
WV,2015,60.86,Bottles and Cans
WV,2016,40.86,Bottles and Cans
WV,2017,15.6,Bottles and Cans
WV,2018,20.73,Bottles and Cans
WV,2019,14.16,Bottles and Cans
WY,2008,1666.38,Bottles and Cans
WY,2009,1851.16,Bottles and Cans
WY,2010,1649.54,Bottles and Cans
WY,2011,1916.37,Bottles and Cans
WY,2012,2580.15,Bottles and Cans
WY,2013,2755.25,Bottles and Cans
WY,2014,2447.42,Bottles and Cans
WY,2015,3409.94,Bottles and Cans
WY,2016,6946.93,Bottles and Cans
WY,2017,7393.61,Bottles and Cans
WY,2018,11129.22,Bottles and Cans
WY,2019,14611.11,Bottles and Cans
total,2008,166930011.9,Bottles and Cans
total,2009,165432246.9,Bottles and Cans
total,2010,162972112.7,Bottles and Cans
total,2011,159708194.5,Bottles and Cans
total,2012,161692656.2,Bottles and Cans
total,2013,159413578.8,Bottles and Cans
total,2014,158542512.2,Bottles and Cans
total,2015,157014624,Bottles and Cans
total,2016,155415745.2,Bottles and Cans
total,2017,151507541.3,Bottles and Cans
total,2018,148100648.5,Bottles and Cans
total,2019,148590625.6,Bottles and Cans
